Item Code,Case Weight,Cases Shipped,Cases Damaged
011577,32.5,-1,0
011642,23.18,855,0
011724,21.37,1776,0
011727,16.81,314,0
011747,22,13,0
011776,35.9,46,0
011797,34.17,40,0
011829,13,164,0
011830,19.5,35,1
011855,12.06,102,0
011856,2.59,5,0
011859,33.25,12243,0
011866,27.3,22,0
011870,25.13,2069,0
011971,10.92,324,0
011991,34.4,2283,0
012020,12.56,512,0
012021,20.81,4,0
012030,12.6,257,0
012037,12.86,111,0
012125,18.35,280,0
012126,11.4,242,0
012256,16,94,0
012257,11,216,0
012276,41,15,0
012287,22,58,0
012332,29.4,1,0
012341,23.89,507,0
012342,4.6,1418,0
012352,38.4,197,0
012437,29.91,751,0
012438,29.91,629,0
012484,40,239,0
012509,38.2,14,0
012510,14.26,388,0
012540,17,138,0
012563,13.2,86,0
012564,9.4,1491,0
012567,18.8,95,0
012568,19.77,127,0
012569,20.65,229,0
012570,18.8,300,0
012572,19.77,539,0
012573,20.65,1578,0
012616,7.5,17,0
012670,26.05,3,0
012702,31.87,461,0
012840,31,3045,0
012852,42,12537,1
012889,36.6,7,0
012890,29.4,91,0
012894,12.7,590,0
012895,13,1445,0
012951,56.2,43637,8
012976,37,14698,4
012983,0.17,767,0
012987,21,688,0
012988,11.5,115,0
013003,13.3,108,0
013087,25.5,5075,1
013118,25.14,171,0
013134,34.4,3862,1
013158,34.01,1317,0
013163,16.7,986,0
013207,46.5,76,0
013244,37,10669,1
013261,3,605,0
013404,11,936,1
013408,18.5,1983,0
013502,31.7,656,0
013503,14,2005,0
013516,12.23,16,0
013546,26,186,0
013572,3.6,291,0
013595,32,177,0
013614,15.4,73,0
013687,1.39,275,0
013702,0.65,124,0
013703,0.65,110,0
013718,31,84,0
013753,32.55,7941,7
013773,45.88,1308,0
013774,43.79,779,0
013776,25,92,0
013795,41.75,1017,0
013809,37,986,0
013818,21.46,1338,0
013819,21.6,13951,0
013820,21.3,10293,0
013822,6,1156,0
013823,9.6,991,0
013838,18.42,1267,0
013839,14.39,2792,0
013854,24,239,0
013855,23,108,0
013856,9,88,0
013857,35,433,0
013953,17,1279,0
013954,34,1064,0
013960,46,3147,0
013987,26.6,179,0
014085,41.5,503,0
014171,13,319,0
014240,32,4670,0
